"46.9279904424038, -22.3500842688936","46.9998556651333, -22.3500842688936","46.9998556651333, -22.2782190461641","46.9279904424038, -22.2782190461641"
"46.9279904424038, -22.4219494916232","46.9998556651333, -22.4219494916232","46.9998556651333, -22.3500842688936","46.9279904424038, -22.3500842688936"
"46.9279904424038, -22.4938147143528","46.9998556651333, -22.4938147143528","46.9998556651333, -22.4219494916232","46.9279904424038, -22.4219494916232"
"46.9279904424038, -22.5656799370823","46.9998556651333, -22.5656799370823","46.9998556651333, -22.4938147143528","46.9279904424038, -22.4938147143528"
"46.9279904424038, -22.6375451598119","46.9998556651333, -22.6375451598119","46.9998556651333, -22.5656799370823","46.9279904424038, -22.5656799370823"
"46.9279904424038, -23.0687364961893","46.9998556651333, -23.0687364961893","46.9998556651333, -22.9968712734597","46.9279904424038, -22.9968712734597"
"46.9279904424038, -23.1406017189188","46.9998556651333, -23.1406017189188","46.9998556651333, -23.0687364961893","46.9279904424038, -23.0687364961893"
"46.9279904424038, -23.2124669416484","46.9998556651333, -23.2124669416484","46.9998556651333, -23.1406017189188","46.9279904424038, -23.1406017189188"
"46.9279904424038, -23.2843321643779","46.9998556651333, -23.2843321643779","46.9998556651333, -23.2124669416484","46.9279904424038, -23.2124669416484"
"46.9279904424038, -23.3561973871075","46.9998556651333, -23.3561973871075","46.9998556651333, -23.2843321643779","46.9279904424038, -23.2843321643779"
"46.9279904424038, -23.4280626098371","46.9998556651333, -23.4280626098371","46.9998556651333, -23.3561973871075","46.9279904424038, -23.3561973871075"
"46.9279904424038, -23.4999278325666","46.9998556651333, -23.4999278325666","46.9998556651333, -23.4280626098371","46.9279904424038, -23.4280626098371"
"46.9279904424038, -23.5717930552962","46.9998556651333, -23.5717930552962","46.9998556651333, -23.4999278325666","46.9279904424038, -23.4999278325666"
"46.9279904424038, -23.6436582780258","46.9998556651333, -23.6436582780258","46.9998556651333, -23.5717930552962","46.9279904424038, -23.5717930552962"
"46.9279904424038, -23.7155235007553","46.9998556651333, -23.7155235007553","46.9998556651333, -23.6436582780258","46.9279904424038, -23.6436582780258"
"46.9279904424038, -23.7873887234849","46.9998556651333, -23.7873887234849","46.9998556651333, -23.7155235007553","46.9279904424038, -23.7155235007553"
"46.9279904424038, -23.8592539462144","46.9998556651333, -23.8592539462144","46.9998556651333, -23.7873887234849","46.9279904424038, -23.7873887234849"
"46.9279904424038, -23.931119168944","46.9998556651333, -23.931119168944","46.9998556651333, -23.8592539462144","46.9279904424038, -23.8592539462144"
"46.9279904424038, -24.0029843916736","46.9998556651333, -24.0029843916736","46.9998556651333, -23.931119168944","46.9279904424038, -23.931119168944"
"46.9279904424038, -24.0748496144031","46.9998556651333, -24.0748496144031","46.9998556651333, -24.0029843916736","46.9279904424038, -24.0029843916736"
"46.9279904424038, -24.1467148371327","46.9998556651333, -24.1467148371327","46.9998556651333, -24.0748496144031","46.9279904424038, -24.0748496144031"
"46.9279904424038, -24.2185800598623","46.9998556651333, -24.2185800598623","46.9998556651333, -24.1467148371327","46.9279904424038, -24.1467148371327"
"46.9279904424038, -24.2904452825918","46.9998556651333, -24.2904452825918","46.9998556651333, -24.2185800598623","46.9279904424038, -24.2185800598623"
"46.9279904424038, -24.3623105053214","46.9998556651333, -24.3623105053214","46.9998556651333, -24.2904452825918","46.9279904424038, -24.2904452825918"
"46.9279904424038, -24.4341757280509","46.9998556651333, -24.4341757280509","46.9998556651333, -24.3623105053214","46.9279904424038, -24.3623105053214"
"46.9279904424038, -24.5060409507805","46.9998556651333, -24.5060409507805","46.9998556651333, -24.4341757280509","46.9279904424038, -24.4341757280509"
"46.9279904424038, -24.5779061735101","46.9998556651333, -24.5779061735101","46.9998556651333, -24.5060409507805","46.9279904424038, -24.5060409507805"
"46.9279904424038, -24.6497713962396","46.9998556651333, -24.6497713962396","46.9998556651333, -24.5779061735101","46.9279904424038, -24.5779061735101"
"46.9279904424038, -24.7216366189692","46.9998556651333, -24.7216366189692","46.9998556651333, -24.6497713962396","46.9279904424038, -24.6497713962396"
"46.9279904424038, -24.7935018416987","46.9998556651333, -24.7935018416987","46.9998556651333, -24.7216366189692","46.9279904424038, -24.7216366189692"
"46.9279904424038, -24.8653670644283","46.9998556651333, -24.8653670644283","46.9998556651333, -24.7935018416987","46.9279904424038, -24.7935018416987"
"46.9998556651333, -21.2002407052207","47.0717208878629, -21.2002407052207","47.0717208878629, -21.1283754824911","46.9998556651333, -21.1283754824911"
"46.9998556651333, -21.2721059279502","47.0717208878629, -21.2721059279502","47.0717208878629, -21.2002407052207","46.9998556651333, -21.2002407052207"
"46.9998556651333, -21.3439711506798","47.0717208878629, -21.3439711506798","47.0717208878629, -21.2721059279502","46.9998556651333, -21.2721059279502"
"46.9998556651333, -21.4158363734093","47.0717208878629, -21.4158363734093","47.0717208878629, -21.3439711506798","46.9998556651333, -21.3439711506798"
"46.9998556651333, -21.4877015961389","47.0717208878629, -21.4877015961389","47.0717208878629, -21.4158363734093","46.9998556651333, -21.4158363734093"
"46.9998556651333, -21.5595668188685","47.0717208878629, -21.5595668188685","47.0717208878629, -21.4877015961389","46.9998556651333, -21.4877015961389"
"46.9998556651333, -21.631432041598","47.0717208878629, -21.631432041598","47.0717208878629, -21.5595668188685","46.9998556651333, -21.5595668188685"
